Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.903,19.5443,19.5443,3.08491,60.2923,64.886,24.2132,3.08491,0.204167
0.9032,18.8025,18.8025,3.46755,65.1985,64.8759,24.2393,3.46755,0.245833
0.9034,17.2726,17.2726,3.74112,64.6187,64.8659,24.2575,3.74112,0.2875
0.9036,18.7368,18.7368,3.24775,60.8526,64.8559,24.2242,3.24775,0.245833
0.9038,19.5417,19.5417,3.08467,60.2798,64.8459,24.2131,3.08467,0.204167
0.904,18.7958,18.7958,3.4677,65.1784,64.8359,24.239,3.4677,0.245833
0.9042,17.2768,17.2768,3.73555,64.5385,64.8258,24.2574,3.73555,0.2875
0.9044,18.739,18.739,3.24141,60.7408,64.8158,24.2236,3.24141,0.245833
0.9046,19.5484,19.5484,3.07925,60.1944,64.8058,24.2128,3.07925,0.204167
0.9048,18.8002,18.8002,3.46288,65.1027,64.7958,24.2389,3.46288,0.245833
0.905,17.2938,17.2938,3.73105,64.5238,64.7858,24.2571,3.73105,0.2875
0.9052,18.7306,18.7306,3.24599,60.7993,64.7757,24.224,3.24599,0.245833
0.9054,19.5446,19.5446,3.08107,60.2184,64.7657,24.213,3.08107,0.204167
0.9056,18.7927,18.7927,3.46217,65.0637,64.7557,24.2389,3.46217,0.245833
0.9058,17.2946,17.2946,3.73151,64.5352,64.7457,24.2569,3.73151,0.2875
0.906,18.7253,18.7253,3.24287,60.7237,64.7356,24.2238,3.24287,0.245833
0.9062,19.5395,19.5395,3.08156,60.2121,64.7256,24.213,3.08156,0.204167
0.9064,18.7995,18.7995,3.45905,65.0283,64.7156,24.2386,3.45905,0.245833
0.9066,17.2798,17.2798,3.73219,64.4915,64.7056,24.2572,3.73219,0.2875
0.9068,18.7375,18.7375,3.23393,60.5957,64.6956,24.2232,3.23393,0.245833
0.907,19.5488,19.5488,3.07452,60.1031,64.6855,24.2125,3.07452,0.204167
0.9072,18.7979,18.7979,3.45805,65.0039,64.6755,24.2385,3.45805,0.245833
0.9074,17.2872,17.2872,3.72656,64.4218,64.6655,24.2568,3.72656,0.2875
0.9076,18.72,18.72,3.23999,60.6525,64.6555,24.2237,3.23999,0.245833
0.9078,19.5458,19.5458,3.07403,60.0844,64.6454,24.2123,3.07403,0.204167
0.908,18.7928,18.7928,3.45609,64.9494,64.6354,24.2384,3.45609,0.245833
0.9082,17.2821,17.2821,3.72775,64.4235,64.6254,24.2565,3.72775,0.2875
0.9084,18.7232,18.7232,3.23415,60.5538,64.6154,24.2231,3.23415,0.245833
0.9086,19.5523,19.5523,3.0691,60.008,64.6054,24.212,3.0691,0.204167
0.9088,18.8038,18.8038,3.45327,64.9344,64.5953,24.2383,3.45327,0.245833
0.909,17.2814,17.2814,3.72406,64.3571,64.5853,24.2565,3.72406,0.2875
0.9092,18.7369,18.7369,3.22669,60.4582,64.5753,24.2226,3.22669,0.245833
0.9094,19.5448,19.5448,3.07166,60.0349,64.5653,24.2122,3.07166,0.204167
0.9096,18.8044,18.8044,3.44908,64.858,64.5553,24.238,3.44908,0.245833
0.9098,17.2856,17.2856,3.72194,64.3357,64.5452,24.2562,3.72194,0.2875
0.91,18.7367,18.7367,3.22634,60.4508,64.5352,24.2226,3.22634,0.245833
0.9102,19.551,19.551,3.06841,59.9904,64.5252,24.212,3.06841,0.204167
0.9104,18.8011,18.8011,3.45145,64.891,64.5152,24.2381,3.45145,0.245833
0.9106,17.275,17.275,3.71975,64.2585,64.5051,24.2562,3.71975,0.2875
0.9108,18.7365,18.7365,3.22398,60.4062,64.4951,24.2226,3.22398,0.245833
0.911,19.5563,19.5563,3.06163,59.8741,64.4851,24.2116,3.06163,0.204167
0.9112,18.7989,18.7989,3.44934,64.8439,64.4751,24.238,3.44934,0.245833
0.9114,17.2848,17.2848,3.71498,64.2125,64.4651,24.2558,3.71498,0.2875
0.9116,18.7416,18.7416,3.22321,60.408,64.455,24.2225,3.22321,0.245833
0.9118,19.5472,19.5472,3.06498,59.9118,64.445,24.2118,3.06498,0.204167
0.912,18.7932,18.7932,3.44994,64.8354,64.435,24.238,3.44994,0.245833
0.9122,17.2815,17.2815,3.7122,64.1524,64.425,24.2558,3.7122,0.2875
0.9124,18.7431,18.7431,3.22049,60.3619,64.415,24.2221,3.22049,0.245833
0.9126,19.5433,19.5433,3.06399,59.8805,64.4049,24.2117,3.06399,0.204167
0.9128,18.7837,18.7837,3.45363,64.8721,64.3949,24.2383,3.45363,0.245833
0.913,17.2625,17.2625,3.70727,63.9967,64.3849,24.2555,3.70727,0.2875
0.9132,18.7605,18.7605,3.21649,60.3429,64.3749,24.2221,3.21649,0.245833
0.9134,19.5445,19.5445,3.0631,59.8667,64.3648,24.2117,3.0631,0.204167
0.9136,18.7937,18.7937,3.44264,64.7,64.3548,24.2375,3.44264,0.245833
0.9138,17.2751,17.2751,3.70859,64.0664,64.3448,24.2556,3.70859,0.2875
0.914,18.7433,18.7433,3.21932,60.3408,64.3348,24.2222,3.21932,0.245833
0.9142,19.5455,19.5455,3.06183,59.8451,64.3248,24.2115,3.06183,0.204167
0.9144,18.7917,18.7917,3.44248,64.6901,64.3147,24.2375,3.44248,0.245833
0.9146,17.2714,17.2714,3.70669,64.0196,64.3047,24.2554,3.70669,0.2875
0.9148,18.7464,18.7464,3.21598,60.2879,64.2947,24.222,3.21598,0.245833
0.915,19.5469,19.5469,3.05769,59.7683,64.2847,24.2112,3.05769,0.204167
0.9152,18.7961,18.7961,3.43822,64.6253,64.2746,24.2373,3.43822,0.245833
0.9154,17.2691,17.2691,3.70597,63.9988,64.2646,24.2553,3.70597,0.2875
0.9156,18.7453,18.7453,3.21268,60.2227,64.2546,24.2218,3.21268,0.245833
0.9158,19.5523,19.5523,3.0531,59.695,64.2446,24.211,3.0531,0.204167
0.916,18.7986,18.7986,3.43966,64.6609,64.2346,24.2373,3.43966,0.245833
0.9162,17.2585,17.2585,3.70262,63.9014,64.2245,24.2551,3.70262,0.2875
0.9164,18.7419,18.7419,3.20876,60.1384,64.2145,24.2216,3.20876,0.245833
0.9166,19.5527,19.5527,3.0525,59.6845,64.2045,24.211,3.0525,0.204167
0.9168,18.7942,18.7942,3.43844,64.6228,64.1945,24.2372,3.43844,0.245833
0.917,17.2556,17.2556,3.69904,63.8294,64.1845,24.2549,3.69904,0.2875
0.9172,18.7329,18.7329,3.21064,60.1447,64.1744,24.2216,3.21064,0.245833
0.9174,19.548,19.548,3.05258,59.6719,64.1644,24.211,3.05258,0.204167
0.9176,18.7917,18.7917,3.43736,64.5936,64.1544,24.2372,3.43736,0.245833
0.9178,17.2331,17.2331,3.70154,63.789,64.1444,24.255,3.70154,0.2875
0.918,18.7567,18.7567,3.19878,59.9985,64.1343,24.2209,3.19878,0.245833
0.9182,19.5495,19.5495,3.05185,59.6622,64.1243,24.211,3.05185,0.204167
0.9184,18.7948,18.7948,3.43229,64.5092,64.1143,24.2369,3.43229,0.245833
0.9186,17.2587,17.2587,3.69598,63.7876,64.1043,24.2547,3.69598,0.2875
0.9188,18.7298,18.7298,3.20715,60.0694,64.0943,24.2214,3.20715,0.245833
0.919,19.5507,19.5507,3.04568,59.5451,64.0842,24.2105,3.04568,0.204167
0.9192,18.8012,18.8012,3.42818,64.4538,64.0742,24.2365,3.42818,0.245833
0.9194,17.2539,17.2539,3.69733,63.7935,64.0642,24.2548,3.69733,0.2875
0.9196,18.7291,18.7291,3.19928,59.9196,64.0542,24.2209,3.19928,0.245833
0.9198,19.5525,19.5525,3.04524,59.5421,64.0442,24.2105,3.04524,0.204167
0.92,18.7889,18.7889,3.43097,64.4643,64.0341,24.2367,3.43097,0.245833
0.9202,17.2454,17.2454,3.69133,63.6583,64.0241,24.2541,3.69133,0.2875
0.9204,18.7553,18.7553,3.19248,59.876,64.0141,24.2204,3.19248,0.245833
0.9206,19.5533,19.5533,3.04477,59.5352,64.0041,24.2103,3.04477,0.204167
0.9208,18.779,18.779,3.43248,64.4586,63.994,24.2368,3.43248,0.245833
0.921,17.2434,17.2434,3.6877,63.5885,63.984,24.2542,3.6877,0.2875
0.9212,18.75,18.75,3.19627,59.9299,63.974,24.2207,3.19627,0.245833
0.9214,19.5479,19.5479,3.04493,59.522,63.964,24.2104,3.04493,0.204167
0.9216,18.7773,18.7773,3.43076,64.4203,63.954,24.2367,3.43076,0.245833
0.9218,17.2469,17.2469,3.68592,63.5707,63.9439,24.2539,3.68592,0.2875
0.922,18.7454,18.7454,3.1937,59.8671,63.9339,24.2205,3.1937,0.245833
0.9222,19.5568,19.5568,3.03777,59.4089,63.9239,24.2099,3.03777,0.204167
0.9224,18.7849,18.7849,3.42671,64.3703,63.9139,24.2365,3.42671,0.245833
0.9226,17.2596,17.2596,3.67849,63.4893,63.9038,24.2531,3.67849,0.2875
0.9228,18.7474,18.7474,3.1926,59.853,63.8938,24.2204,3.1926,0.245833
0.923,19.5492,19.5492,3.0408,59.4454,63.8838,24.2102,3.0408,0.204167
0.9232,18.7783,18.7783,3.42682,64.3499,63.8738,24.2362,3.42682,0.245833
0.9234,17.2473,17.2473,3.6774,63.4251,63.8638,24.2533,3.6774,0.2875
0.9236,18.7456,18.7456,3.1895,59.7892,63.8537,24.2202,3.1895,0.245833
0.9238,19.5522,19.5522,3.0374,59.3878,63.8437,24.2098,3.0374,0.204167
0.924,18.7799,18.7799,3.42291,64.2819,63.8337,24.2362,3.42291,0.245833
0.9242,17.252,17.252,3.67595,63.4177,63.8237,24.2534,3.67595,0.2875
0.9244,18.7423,18.7423,3.18939,59.7765,63.8137,24.2202,3.18939,0.245833
0.9246,19.5472,19.5472,3.03964,59.4166,63.8036,24.21,3.03964,0.204167
0.9248,18.7746,18.7746,3.42017,64.2123,63.7936,24.236,3.42017,0.245833
0.925,17.2351,17.2351,3.67864,63.4018,63.7836,24.2536,3.67864,0.2875
0.9252,18.7516,18.7516,3.18032,59.6359,63.7736,24.2194,3.18032,0.245833
0.9254,19.551,19.551,3.0356,59.3492,63.7635,24.2098,3.0356,0.204167
0.9256,18.7799,18.7799,3.41888,64.2062,63.7535,24.2359,3.41888,0.245833
0.9258,17.2405,17.2405,3.67231,63.3126,63.7435,24.2531,3.67231,0.2875
0.926,18.7474,18.7474,3.18262,59.6657,63.7335,24.2197,3.18262,0.245833
0.9262,19.5544,19.5544,3.03179,59.2848,63.7235,24.2095,3.03179,0.204167
0.9264,18.789,18.789,3.41362,64.1384,63.7134,24.2356,3.41362,0.245833
0.9266,17.2392,17.2392,3.66982,63.2646,63.7034,24.253,3.66982,0.2875
0.9268,18.7552,18.7552,3.17783,59.6008,63.6934,24.2192,3.17783,0.245833
0.927,19.5548,19.5548,3.02928,59.237,63.6834,24.2093,3.02928,0.204167
0.9272,18.7856,18.7856,3.41388,64.1319,63.6734,24.2355,3.41388,0.245833
0.9274,17.225,17.225,3.67068,63.2274,63.6633,24.253,3.67068,0.2875
0.9276,18.7657,18.7657,3.17324,59.5481,63.6533,24.219,3.17324,0.245833
0.9278,19.552,19.552,3.02947,59.232,63.6433,24.2094,3.02947,0.204167
0.928,18.7871,18.7871,3.41155,64.0931,63.6333,24.2354,3.41155,0.245833
0.9282,17.2268,17.2268,3.66838,63.1943,63.6232,24.2527,3.66838,0.2875
0.9284,18.7637,18.7637,3.17143,59.5078,63.6132,24.219,3.17143,0.245833
0.9286,19.5529,19.5529,3.02735,59.1935,63.6032,24.2092,3.02735,0.204167
0.9288,18.7829,18.7829,3.41039,64.0569,63.5932,24.2353,3.41039,0.245833
0.929,17.2347,17.2347,3.66767,63.2113,63.5832,24.2528,3.66767,0.2875
0.9292,18.7586,18.7586,3.16963,59.4577,63.5731,24.2186,3.16963,0.245833
0.9294,19.5526,19.5526,3.02723,59.1903,63.5631,24.2091,3.02723,0.204167
0.9296,18.7784,18.7784,3.41029,64.0398,63.5531,24.2353,3.41029,0.245833
0.9298,17.2321,17.2321,3.66441,63.1454,63.5431,24.2526,3.66441,0.2875
0.93,18.7632,18.7632,3.16447,59.3754,63.533,24.2184,3.16447,0.245833
0.9302,19.5587,19.5587,3.02192,59.1048,63.523,24.2088,3.02192,0.204167
0.9304,18.783,18.783,3.40566,63.9684,63.513,24.2348,3.40566,0.245833
0.9306,17.2348,17.2348,3.66353,63.1402,63.503,24.2523,3.66353,0.2875
0.9308,18.7593,18.7593,3.16314,59.3384,63.493,24.2184,3.16314,0.245833
0.931,19.5583,19.5583,3.01952,59.0568,63.4829,24.2086,3.01952,0.204167
0.9312,18.778,18.778,3.4056,63.9503,63.4729,24.235,3.4056,0.245833
0.9314,17.2392,17.2392,3.65743,63.0513,63.4629,24.2518,3.65743,0.2875
0.9316,18.7446,18.7446,3.16681,59.3607,63.4529,24.2186,3.16681,0.245833
0.9318,19.5574,19.5574,3.0198,59.0594,63.4429,24.2086,3.0198,0.204167
0.932,18.7751,18.7751,3.40413,63.9129,63.4328,24.2349,3.40413,0.245833
0.9322,17.2317,17.2317,3.65635,63.0051,63.4228,24.2518,3.65635,0.2875
0.9324,18.7448,18.7448,3.16324,59.2944,63.4128,24.2183,3.16324,0.245833
0.9326,19.5542,19.5542,3.0182,59.0185,63.4028,24.2085,3.0182,0.204167
0.9328,18.7723,18.7723,3.40382,63.8977,63.3927,24.2349,3.40382,0.245833
0.933,17.2223,17.2223,3.65193,62.8946,63.3827,24.2514,3.65193,0.2875
0.9332,18.7569,18.7569,3.1585,59.2437,63.3727,24.2181,3.1585,0.245833
0.9334,19.5574,19.5574,3.01615,58.9879,63.3627,24.2085,3.01615,0.204167
0.9336,18.7821,18.7821,3.3961,63.7858,63.3527,24.2343,3.3961,0.245833
0.9338,17.2288,17.2288,3.6536,62.9471,63.3426,24.2516,3.6536,0.2875
0.934,18.7466,18.7466,3.15679,59.1791,63.3326,24.2178,3.15679,0.245833
0.9342,19.56,19.56,3.012,58.9149,63.3226,24.2082,3.012,0.204167
0.9344,18.7797,18.7797,3.39902,63.8325,63.3126,24.2345,3.39902,0.245833
0.9346,17.2354,17.2354,3.64866,62.8862,63.3026,24.2512,3.64866,0.2875
0.9348,18.7476,18.7476,3.15586,59.1649,63.2925,24.2179,3.15586,0.245833
0.935,19.5623,19.5623,3.00949,58.8726,63.2825,24.208,3.00949,0.204167
0.9352,18.7774,18.7774,3.39559,63.7603,63.2725,24.2342,3.39559,0.245833
0.9354,17.2273,17.2273,3.64715,62.8305,63.2625,24.2511,3.64715,0.2875
0.9356,18.759,18.759,3.15247,59.1372,63.2524,24.2177,3.15247,0.245833
0.9358,19.5599,19.5599,3.00879,58.8516,63.2424,24.2079,3.00879,0.204167
0.936,18.7726,18.7726,3.39482,63.7296,63.2324,24.234,3.39482,0.245833
0.9362,17.2303,17.2303,3.64652,62.8307,63.2224,24.2514,3.64652,0.2875
0.9364,18.7571,18.7571,3.14879,59.0621,63.2124,24.2174,3.14879,0.245833
0.9366,19.5615,19.5615,3.00616,58.805,63.2023,24.2077,3.00616,0.204167
0.9368,18.7756,18.7756,3.39267,63.6994,63.1923,24.234,3.39267,0.245833
0.937,17.2273,17.2273,3.64347,62.7672,63.1823,24.251,3.64347,0.2875
0.9372,18.7521,18.7521,3.14772,59.0264,63.1723,24.2173,3.14772,0.245833
0.9374,19.5597,19.5597,3.00608,58.7979,63.1622,24.2077,3.00608,0.204167
0.9376,18.7766,18.7766,3.39023,63.657,63.1522,24.2339,3.39023,0.245833
0.9378,17.2144,17.2144,3.64396,62.7285,63.1422,24.2511,3.64396,0.2875
