t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,20.93120000063209,21,680,183456,19.804061998551262,3.7323586992834774,10.4
0.022000000000000016,1,33.97960000074818,21,597,183456,15.988397706740455,4.932982247315605,14.0
0.05650000000000004,1,42.750799999339506,21,791,183460,12.380782104858877,4.9691381947358275,17.6
0.10000000000000007,1,21.00090000021737,34,671,183476,18.347207968633008,4.627949841130032,21.2
0.1215000000000001,1,22.061900001062895,35,819,183468,20.898057147831665,2.312511705269779,10.4
0.1440000000000001,1,22.839100000055623,21,812,183456,9.389803291869997,4.977003979540278,14.0
0.16750000000000012,1,35.49349999957485,25,813,183456,12.369337554601582,4.969173204813521,17.6
0.20350000000000015,1,30.574000000342494,30,666,183456,18.35513509331498,4.6253619096749965,17.6
0.23450000000000018,1,23.84600000004866,21,860,183476,18.233511681050565,4.663106900950967,17.6
0.2590000000000002,1,42.88570000062464,36,611,183456,18.233511681197026,4.6631069009079695,14.0
0.3025000000000002,1,25.920300000507268,39,729,183456,16.640296087277555,4.90331642167914,14.25983
0.32900000000000024,1,35.84170000067388,39,805,183428,14.774822793333641,4.9562879841258285,19.4
0.36550000000000027,1,25.80109999871638,21,826,183424,19.949015994041318,3.5848420673217665,17.6
0.3920000000000003,1,22.511299999678158,21,755,183484,18.21347976555265,4.668934454207908,15.8
0.4150000000000003,1,25.417599999855156,36,734,183456,17.001394141173527,4.876346540079619,17.6
0.44100000000000034,1,34.410799999022856,21,815,183456,18.2549282511087,4.65675783573373,10.77085
0.47600000000000037,1,22.12610000060522,20,820,183456,16.109270568885293,4.92882976519899,16.41307
0.4985000000000004,1,41.91300000093179,21,764,183476,16.85087833941059,4.888786293601026,17.6
0.5409999999999958,1,27.061499999035732,21,814,183456,18.24919471044539,4.658469709735488,16.05392
0.5684999999999928,1,41.28339999988384,35,569,183476,17.071269644624845,4.869901450839825,19.4
0.6104999999999882,1,47.486100000242004,21,624,183476,19.84120534568863,3.6957192591437398,14.37085
0.6584999999999829,1,29.968700000608806,21,749,183476,15.2777430882615,4.949618700697866,17.39453
0.6889999999999795,1,91.02279999933671,21,771,183460,18.066432259572046,4.708581979467959,17.6
0.7804999999999694,1,49.50559999997495,21,759,183464,18.243489703638332,4.66016423688117,18.94377
0.8304999999999639,1,38.086599999587634,35,786,183468,19.461482075639495,4.033726703365441,19.19657
0.8689999999999597,1,53.878199998507625,38,985,183488,19.713243024422198,3.818620546260491,17.92469
0.9234999999999537,1,27.3259000005055,21,779,183488,18.56712036040051,4.5489900700978065,17.88526
0.9514999999999506,1,39.9649999999383,39,922,181136,18.506456408384057,4.572309778959203,17.46564
0.9919999999999461,1,32.74009999950067,21,725,183456,18.102929381352258,4.699238297571649,18.80613
1.0249999999999426,1,42.60169999906793,45,765,183480,19.355110191147666,4.1144112940475885,15.59657
1.0679999999999379,1,63.07649999871501,39,687,183476,16.453736123093975,4.91385654272857,19.48015
1.131499999999931,1,52.83130000134406,39,990,183488,19.9217036764639,3.613572021151056,17.25915
1.184999999999925,1,56.13619999894581,38,820,183476,17.766389459410387,4.774362819399322,17.39846
1.2414999999999188,1,39.80780000165396,39,974,183492,18.049272006879864,4.712866682826923,15.79618
1.2819999999999143,1,40.343700000448734,36,634,183476,16.98131572139752,4.878116556278479,17.98104
1.3229999999999098,1,48.88980000032461,39,676,183476,18.661444113196104,4.510233250030613,15.88015
1.3724999999999044,1,24.449599999570637,21,780,183680,16.982165886211288,4.878042330187762,17.26749
1.3974999999999016,1,32.100700000228244,21,783,183456,17.867912593640128,4.754167079910856,17.52709
1.429999999999898,1,30.297600000267266,21,577,183464,18.16893027604411,4.681518142907883,16.45975
1.4609999999998946,1,38.17019999951299,36,605,183660,17.282117154175687,4.847488179680922,17.78275
1.4994999999998904,1,18.421499999021762,41,720,183480,18.430562907633668,4.599802003713764,19.48015
1.5184999999998883,1,35.575099998823134,21,780,183476,19.859641193655623,3.6772378779797292,17.64036
1.5544999999998843,1,20.111600000745966,21,692,183476,18.266443360356206,4.6532927240330215,17.49049
1.574999999999882,1,24.910099999033264,21,697,183480,18.138359630853888,4.689860171959216,19.77993
1.6004999999998792,1,46.23569999967003,35,773,183660,20.066593329198902,3.4561530892803343,17.6539
1.6469999999998741,1,25.529900000037742,37,635,183436,18.337813048840193,4.630993284851992,20.45328
1.6729999999998713,1,42.942199999743025,21,738,183476,20.482132810555335,2.9355155477944295,17.28601
1.7164999999998665,1,31.78459999980987,21,673,183444,18.035071150060922,4.7163609245224185,17.40796
1.7489999999998629,1,26.782200000525336,21,814,183476,18.05148378016638,4.712318273336476,16.79023
1.7764999999998599,1,24.43179999863787,35,618,183456,17.512911592694344,4.816930456816702,17.46564
1.801499999999857,1,42.80260000086855,41,654,183424,18.094128205898063,4.701520573940749,17.42564
1.8449999999998523,1,46.21379999844066,41,635,183428,18.074996444967255,4.706417837963386,17.46564
1.8914999999998472,1,36.84110000176588,41,658,183476,18.11144641332716,4.697011898625277,17.50564
1.928999999999843,1,21.969499999613618,47,780,183456,18.15561085516447,4.685181596706148,17.46564
1.9514999999998406,1,30.221100001654122,61,899,183456,18.11775402829529,4.6953516947413325,17.42564
1.9819999999998372,1,26.332999999794993,41,792,183440,18.05668781422885,4.71102345843642,17.46564
2.0089999999998382,1,49.764900000809575,41,832,183476,18.104667944828947,4.695034928766772,17.42564
2.059499999999855,1,18.52800000051502,41,834,183456,18.066961732171723,4.682281867411172,17.46564
2.0784999999998615,1,19.202500001483713,79,681,183464,18.108409813883867,4.6633816913973565,17.42564
2.097999999999868,1,124.55449999833945,41,620,183476,18.075414537824166,4.663095555957162,17.46564
2.2229999999999097,1,35.65049999997427,41,738,183476,18.100516628219253,4.601407475898458,17.42564
2.2589999999999217,1,21.771499999886146,41,839,183476,18.062191511541727,4.5946869851757635,17.46564
2.2814999999999293,1,27.952899999945657,69,729,183456,18.090392906540345,4.5779049776191085,17.42564
