tag,cond,algo,profile,rep,delay_ms,t_sim_s,eta_pct,eta_tick_pct,t_settle_ms,sigma_ss_pct,n_req,n_fail,rtt_mean_ms,rtt_p50_ms,rtt_p99_ms,timeout_s,wall_s
B_pso_P1_r5,B,pso,P1,5,0,10,94.5133,94.5143,,2.38869,184,0,53.8562,53.1898,89.0017,0.5,540.322
B_pso_P2_r1,B,pso,P2,1,0,10,93.2579,93.2596,0,17.203,161,0,61.8478,56.7008,126.078,0.5,698.386
B_pso_P2_r2,B,pso,P2,2,0,10,93.1387,93.1404,0,16.0179,164,0,60.5572,54.9985,153.857,0.5,591.326
B_pso_P2_r3,B,pso,P2,3,0,10,92.908,92.9096,0,4.83963,179,0,55.432,54.0905,91.9306,0.5,573.376
B_pso_P2_r4,B,pso,P2,4,0,10,92.4312,92.4328,0,2.84346,177,0,56.3443,53.7631,106.695,0.5,581.592
B_pso_P2_r5,B,pso,P2,5,0,10,92.9805,92.9823,0,2.27989,183,0,54.318,53.0848,86.643,0.5,569.102
B_pso_P3_r1,B,pso,P3,1,0,10,91.268,91.2692,139.5,7.96748,171,0,58.244,56.0595,100.066,0.5,616.579
B_pso_P3_r2,B,pso,P3,2,0,10,92.5224,92.5235,45,8.77785,179,0,55.4923,53.1121,97.2592,0.5,551.021
B_pso_P3_r3,B,pso,P3,3,0,10,92.8545,92.8556,110,3.94032,178,0,55.8638,54.1864,103.314,0.5,552.457
B_pso_P3_r4,B,pso,P3,4,0,10,91.7898,91.7909,54,4.97028,174,0,57.2656,55.2236,90.8968,0.5,553.6
B_pso_P3_r5,B,pso,P3,5,0,10,91.196,91.1969,110.5,6.29829,179,0,55.5307,53.1766,99.6339,0.5,557.294
C_po_P1_r1,C,po,P1,1,0,10,95.5729,95.5742,,3.34896,284,4,28.1852,22.3782,87.9033,0.5,803.776
C_po_P1_r2,C,po,P1,2,0,10,94.5446,94.5457,,3.4108,348,3,24.1121,20.9888,66.9151,0.5,716.125
C_po_P1_r3,C,po,P1,3,0,10,81.1071,81.1079,,23.0808,157,10,33.7716,28.7548,105.683,0.5,508.553
C_po_P1_r4,C,po,P1,4,0,10,98.241,98.2423,,1.91813,257,3,32.8229,25.7667,158.813,0.5,576.521
C_po_P1_r5,C,po,P1,5,0,10,98.2772,98.2785,,4.32012,212,4,40.1489,30.6111,269.778,0.5,544.973
C_po_P2_r1,C,po,P2,1,0,10,91.0651,91.0666,0,3.93933,253,2,35.0967,28.5547,113.123,0.5,1255.33
