t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,618.1899000000612,13,1558,182352,19.804061998551262,3.7323586992834774,10.4
0.6189999999999872,1,593.814699999939,13,1587,182352,15.921121644126504,4.9350882892477275,14.0
1.2134999999999219,1,640.2983999998924,13,1556,182352,12.393904220330576,4.96909794545828,17.6
1.8544999999998513,1,692.889599999944,13,1606,182352,18.337158089156265,4.631204502950217,21.2
2.5480000000000183,0,1022.9742000001352,,,,20.936564225220017,2.177999347806015,
3.57150000000036,0,1017.771399999674,,,,21.399555277848528,1.3100255799612048,
4.590000000000176,0,1007.0382999997491,,,,21.38026513541983,1.1849625203841678,
5.597499999999617,0,1028.5624000002827,,,,21.349037990402817,0.9694240244016162,
6.626499999999047,0,1002.7126999998472,,,,21.351110818239636,0.9865431327893905,
7.629499999998491,0,1024.7291999999106,,,,21.3758057195264,1.1492950417161167,
8.654499999999086,0,1028.0232999998589,,,,21.395700320914717,1.2766736022650054,
9.683000000000343,1,599.131099999795,12,1657,182352,21.41002444234363,1.379241875307494,11.2177
