t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,603.5216999998738,9,1527,182336,19.804061998551262,3.7323586992834774,16.1
0.6044999999999888,1,594.9382999997397,10,1555,182336,17.05144917247255,4.871775682171208,17.1
1.1999999999999234,1,558.5415999994439,10,1548,182356,17.685540118323487,4.7890938294342895,18.1
1.7589999999998618,1,568.6607000006916,9,1671,182348,18.73903236714054,4.475956920385532,17.1
2.327999999999945,1,565.7964000001812,10,1557,182348,17.732376110248534,4.630042895841444,18.1
2.894500000000134,1,560.5436999994708,10,1671,182348,18.696597934742275,4.131287207382027,17.1
3.4555000000003213,1,566.9278000004851,10,1623,182356,17.7427495991864,4.104370579312427,18.1
4.02300000000049,1,556.6874000005555,10,1581,182348,18.60977817010129,3.6707708255747393,17.1
4.580000000000181,0,1027.2061999994548,,,,17.838950693339484,3.289646097530321,
5.607499999999612,0,1029.1631000000052,,,,17.4175503994579,2.3213689368969512,
6.636999999999041,0,1026.647700000467,,,,17.418798773739258,2.4039244461334226,
7.663999999998472,0,1015.6409999999596,,,,17.5264195378067,3.148107351188066,
8.679999999999117,0,1045.6727999990107,,,,17.634426829959185,3.869308910386469,
9.726000000000395,0,1017.7323000007164,,,,17.709514305525413,4.59494211778167,
