t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,25.250999999116175,29,763,183456,19.804061998551262,3.7323586992834774,16.1
0.02650000000000002,1,28.336299999864423,33,642,183464,17.036829510899658,4.8731344798783365,17.1
0.05550000000000004,1,29.836499999873922,29,691,183456,17.694743286056895,4.787474450890261,18.1
0.08600000000000006,1,50.00420000033046,38,958,183492,18.73982371525439,4.475595777538961,17.1
0.1365000000000001,1,26.374099999884493,51,688,183456,17.73761266247494,4.779738297196412,16.1
0.16350000000000012,1,26.427200000398443,31,798,183456,17.07877722564376,4.869181764809184,17.1
0.19050000000000014,1,33.07010000025912,54,693,183456,17.663757020990435,4.792869687964351,18.1
0.22400000000000017,0,502.1409999990283,,,,18.741559345227948,4.474802868521998,
0.7264999999999754,0,515.8350999990944,,,,18.734145439469746,4.478181895944903,
1.2429999999999186,0,512.2318000012456,,,,18.734145439465635,4.478181895946772,
1.7554999999998622,0,510.13609999972687,,,,18.734145439470996,4.478181895944336,
2.265999999999924,0,503.42989999990095,,,,18.36389157278415,1.8957070558157194,
2.7700000000000924,0,508.0528999988019,,,,18.361839535347332,1.8958413267596084,
3.278500000000262,0,511.3015999995696,,,,18.37015221288616,1.8952956877159368,
3.790500000000433,0,515.5985999990662,,,,18.36698473554436,1.8955041368169823,
4.306500000000333,0,503.8249999997788,,,,18.369235525801745,1.8953560824058264,
4.811000000000053,0,510.3663999998389,,,,18.365018995001726,1.8956331672394704,
5.32199999999977,0,514.5480999999563,,,,18.363551040261584,1.8957293570481124,
5.836999999999485,0,509.23040000088804,,,,18.364756462161672,1.8956503804987095,
6.346499999999202,1,43.08869999840681,21,592,183476,18.37074303430841,1.8952567327411651,17.1
6.389999999999178,0,516.2030000010418,,,,17.959054670095615,1.9174975357726614,
6.906499999998892,1,66.80530000085128,29,618,183476,17.351202361868804,1.9374443549562042,18.1
6.9739999999988544,1,33.08599999945727,20,592,183476,18.026277650429737,1.914462454108029,19.1
7.007499999998836,1,133.4290000013425,29,618,183476,19.28388249714195,1.7968477678325385,20.1
7.141499999998762,1,51.44010000003618,21,639,183476,20.34211343668813,1.5008023308234129,19.1
7.193499999998733,1,26.919899999484187,28,623,183456,19.365873937857035,1.7828783325656339,18.1
7.2209999999987176,0,521.1060000001453,,,,18.67015620466583,1.8722170111063061,
7.7424999999984285,0,506.23559999985446,,,,18.363117773452373,1.8957577203500273,
8.24899999999859,0,544.1116000001784,,,,18.356713859549142,1.8961755076317173,
8.793499999999256,1,107.87650000020221,21,695,183476,18.36696355935633,1.8955055281724342,19.1
8.901999999999388,1,272.88559999942663,28,610,183460,19.278474649766636,1.7977305783535669,18.1
9.175499999999722,1,25.59589999873424,21,587,183456,18.674604420240094,1.8718198187362833,17.1
9.201499999999754,1,22.050100000342354,29,626,183456,17.9605184933061,1.917433590957289,18.1
9.223999999999782,1,17.443900000216672,21,594,183472,18.014611335116236,1.9150039027301982,19.1
9.241999999999804,1,36.59789999983332,28,627,183456,19.28144525186978,1.7972462147390897,20.1
9.278999999999849,1,42.50119999960589,21,587,183476,20.339498370244574,1.5019309618874603,19.1
9.321999999999901,1,21.783500000310596,28,624,183456,19.35712363015193,1.7844227056437747,18.1
9.344499999999929,1,104.15260000081616,20,592,183476,18.66647943194177,1.8725439849647492,17.1
9.449000000000057,1,26.431800000864314,28,625,183468,17.959799464007496,1.9174650122892583,18.1
9.47600000000009,0,521.4140000007319,,,,18.01536274540389,1.9149692187109841,
9.998000000000728,1,32.53429999858781,29,629,183456,18.367850990644374,1.895447195194832,20.1
