ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,3139.6097999968333,21,707,178464,89,19.405717,3.992994,12.08373,
1,70.47540000348818,60,898,178248,90,18.885611,1.988587,12.52999,
1,72.13279999996303,39,788,178484,91,13.129972,3.680247,12.89578,
1,65.68220000190195,21,807,178492,92,17.716948,1.668212,12.34285,
1,56.87789999501547,21,801,178488,93,15.164458,4.641023,12.41709,
1,3220.179799995094,38,735,178508,94,16.491206,3.313344,13.18804,
1,2497.032699997362,49,1059,178324,95,13.553038,3.104089,12.52999,
1,434.8018999953638,21,801,180196,96,16.187478,1.355743,12.50484,
1,29.06960000109393,21,767,180400,97,19.855542,3.285582,12.15745,
1,42.380999999295454,21,718,180380,98,12.051271,4.090597,12.0077,
1,60.80410000140546,21,689,180388,99,19.826126,3.35948,10.00894,
1,79.10629999969387,35,748,180412,100,14.557453,1.750031,12.52999,
1,101.8194999996922,43,805,178312,101,17.380213,1.78043,12.52999,
1,2274.9188000016147,38,1033,178392,102,16.621503,3.408957,10.4,
1,95.69410000403877,39,990,178760,103,19.699385,1.289061,14.0,
1,36.232700003893115,39,1009,178784,104,15.999783,3.97639,17.6,
1,73.15050000033807,29,801,178700,105,13.417814,2.552267,21.2,
1,3279.1395999956876,36,790,178716,106,12.503164,3.903523,12.52999,
1,36.48360000079265,30,1001,178560,107,12.702143,2.580367,13.13025,
1,72.61470000230474,21,870,178516,108,18.988181,2.889201,13.29583,
1,92.86310000607045,41,985,178552,109,19.300975,4.063668,14.73582,
1,38.66350000316743,38,1000,178560,110,19.322592,1.509612,17.6,
1,109.86180000327295,36,762,178692,111,12.588503,1.281305,12.52999,
1,3154.822600001353,21,814,178692,112,18.950834,3.53628,13.86545,
1,26.262300001690164,30,841,178284,113,15.972574,1.654174,11.66771,
1,43.67710000224179,44,850,178508,114,17.389868,2.27207,17.52049,
1,35.74520000256598,21,828,178488,115,17.687039,2.841421,16.27979,
1,26.94789999804925,35,689,178508,116,16.059759,4.158663,12.52999,
