ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,74.64629999958561,9,1497,182360,401,13.551344,3.751658,23.0,23.0
1,66.81480000042939,10,1605,182340,402,18.071992,1.301555,22.0,22.0
1,67.56590000077267,9,1638,182360,403,15.035892,2.307391,21.0,21.0
1,65.77149999975518,9,1533,182340,404,16.563451,3.612213,20.0,20.0
1,66.25150000036228,10,1575,182360,405,13.451102,2.878638,21.0,21.0
1,89.58569999958854,10,1605,182340,406,19.937343,1.063411,20.0,20.0
1,78.16529999945487,9,1521,182360,407,14.967949,2.33725,19.0,19.0
1,68.60239999878104,9,1551,182340,408,15.244664,4.476775,18.0,18.0
1,65.87230000150157,9,1564,182368,409,15.50644,4.532312,17.0,17.0
1,69.67880000047444,2,1574,182336,410,16.604319,2.698471,18.0,18.0
1,63.12269999943965,10,1555,182344,411,14.018425,4.294455,19.0,19.0
1,65.88039999951434,10,1652,182368,412,17.153604,1.848904,18.0,18.0
1,69.25980000050913,9,1603,182336,413,13.040564,1.501725,19.0,19.0
1,67.14409999949567,10,1551,182360,414,19.272576,2.613566,20.0,20.0
1,65.68669999978738,9,1635,182352,415,18.562462,4.581448,21.0,21.0
1,65.5841000007058,10,1619,182360,416,13.810664,1.130289,20.0,20.0
1,64.58239999847137,9,1562,182352,417,13.442689,4.091915,19.0,19.0
1,68.5356000012689,10,1633,182312,418,12.123305,3.256528,20.0,20.0
1,71.09549999950104,1,1612,182336,419,13.530134,4.066643,21.0,21.0
1,64.66180000097665,10,1561,182352,420,15.835006,3.19632,20.0,20.0
1,61.546000000817,9,1618,182352,421,14.347266,2.826314,21.0,21.0
1,66.98969999888504,10,1615,182336,422,12.365701,4.238079,22.0,22.0
1,68.41910000002827,9,1533,182348,423,19.259991,4.01059,23.0,23.0
1,69.8831000008795,9,1563,182348,424,15.964978,4.375137,22.0,22.0
1,71.42889999886393,1,1609,182352,425,12.030567,3.66383,23.0,23.0
1,75.98559999860299,10,1619,182348,426,18.139087,2.306625,22.0,22.0
1,71.2770999998611,10,1580,182320,427,18.852574,1.00076,23.0,23.0
1,97.59930000109307,10,1635,182348,428,17.056962,2.204096,23.0,23.0
1,95.7644000009168,10,1660,182344,429,17.029023,2.005435,22.0,22.0
1,87.385799999538,10,1498,182348,430,13.678239,3.504642,21.0,21.0
1,79.99550000022282,10,1581,182348,431,15.975479,1.749123,22.0,22.0
1,67.51840000106313,9,1506,182344,432,19.089399,4.529547,23.0,23.0
1,64.88720000015746,9,1506,182348,433,16.396547,3.824384,22.0,22.0
1,65.76870000026247,9,1568,182348,434,15.611094,4.205773,21.0,21.0
1,67.65089999862539,10,1485,182352,435,18.67085,4.056639,20.0,20.0
1,66.28540000019711,10,1524,182348,436,13.945191,1.097954,21.0,21.0
1,65.12670000120124,9,1558,182348,437,17.266025,2.645031,22.0,22.0
1,70.06379999984347,9,1519,182352,438,19.154087,4.43939,23.0,23.0
1,62.225600000601844,10,1638,182348,439,16.270017,2.509777,22.0,22.0
1,67.99689999934344,9,1586,182348,440,17.703916,3.837479,21.0,21.0
1,73.46750000033353,1,1632,182348,441,17.458263,4.369696,20.0,20.0
1,62.356399999771384,10,1542,182340,442,16.618549,3.064174,21.0,21.0
1,65.23139999990235,10,1585,182332,443,16.135265,4.555923,22.0,22.0
1,67.4751999995351,10,1522,182348,444,14.934009,4.367663,21.0,21.0
1,66.359200000079,9,1506,182344,445,16.039117,1.341356,22.0,22.0
1,66.59300000137591,10,1601,182348,446,15.591856,2.164786,23.0,23.0
1,70.33670000055281,9,1506,182368,447,16.22308,4.413239,23.0,23.0
1,68.17620000038005,10,1553,182348,448,13.435644,2.900898,22.0,22.0
1,69.03370000145514,10,1544,182344,449,16.660018,4.079281,21.0,21.0
1,80.81420000053186,9,1693,182340,450,19.527816,3.202432,22.0,22.0
1,100.8311000005051,10,1522,182340,451,19.372944,2.346236,21.0,21.0
1,78.2971999997244,9,1506,182348,452,18.114558,4.054902,20.0,20.0
1,70.93849999910162,10,1550,182344,453,16.410232,1.695155,21.0,21.0
1,78.42840000012075,9,1592,182344,454,15.089634,2.1634,22.0,22.0
1,65.25589999910153,9,1536,182348,455,19.735029,3.57849,23.0,23.0
1,66.00690000050236,10,1602,182340,456,19.272303,2.184639,22.0,22.0
1,69.64639999932842,9,1624,182340,457,15.43152,3.269489,21.0,21.0
1,64.07219999891822,10,1549,182340,458,14.837825,2.825999,22.0,22.0
1,68.79639999897336,10,1654,182348,459,16.794456,1.113144,21.0,21.0
1,65.90820000019448,9,1596,182340,460,14.718489,1.000887,22.0,22.0
1,63.553799998771865,10,1553,182348,461,15.860301,3.432003,23.0,23.0
1,68.10740000037185,9,1637,182340,462,12.743924,1.968378,22.0,22.0
1,69.11939999918104,9,1603,182348,463,18.431935,4.361126,21.0,21.0
1,68.8960000006773,9,1536,182340,464,15.101866,4.256895,22.0,22.0
1,72.41879999855882,1,1618,182332,465,14.217122,3.824433,21.0,21.0
1,76.16869999947085,9,1524,182340,466,16.363653,2.760396,22.0,22.0
1,80.44790000167268,10,1617,182348,467,17.251538,1.053563,21.0,21.0
1,69.3344999999681,9,1533,182340,468,13.299548,2.175294,20.0,20.0
1,61.96349999845552,9,1617,182344,469,17.444501,3.824941,19.0,19.0
1,68.89000000046508,10,1615,182352,470,17.446087,4.070468,18.0,18.0
1,65.05299999844283,10,1552,182344,471,12.636412,1.423556,19.0,19.0
1,73.00610000129382,10,1592,182340,472,18.842809,2.427351,20.0,20.0
1,103.6906999997882,9,1513,182352,473,16.54697,3.014011,21.0,21.0
1,71.43939999878057,10,1539,182380,474,17.013301,1.307787,20.0,20.0
1,67.78479999957199,9,1634,182352,475,18.158322,1.493609,19.0,19.0
1,68.74509999943257,10,1692,182344,476,17.450996,2.608568,18.0,18.0
1,63.759100001334446,10,1559,182352,477,15.938093,3.686775,17.0,17.0
1,67.31829999989714,9,1631,182344,478,14.968022,1.18415,18.0,18.0
1,67.39240000024438,9,1551,182352,479,19.713692,3.090708,19.0,19.0
1,66.00479999906383,10,1551,182344,480,17.937157,3.125179,18.0,18.0
1,66.81790000038745,10,1652,182352,481,18.557495,3.258465,17.0,17.0
1,68.606799999543,9,1627,182344,482,12.982055,3.567626,18.0,18.0
1,65.47300000056566,10,1583,182328,483,13.381925,4.294617,19.0,19.0
1,75.88759999998729,9,1635,182340,484,17.448493,4.759235,20.0,20.0
1,73.58139999996638,10,1574,182360,485,17.032646,1.900652,19.0,19.0
1,73.02370000070368,0,1564,182352,486,16.4571,4.087089,18.0,18.0
1,130.7465999998385,10,1632,182368,487,17.695106,2.369187,19.0,19.0
1,80.32610000009299,10,1655,182364,488,17.242809,4.741076,20.0,20.0
1,71.75070000084816,10,1583,182352,489,17.47848,2.469206,19.0,19.0
1,75.07359999908658,9,1635,182344,490,19.286067,4.310497,18.0,18.0
1,69.03919999967911,10,1502,182356,491,18.84147,1.427366,19.0,19.0
1,64.57169999885082,10,1584,182348,492,14.326631,4.160511,20.0,20.0
1,66.83479999992414,10,1598,182356,493,14.19846,1.294824,19.0,19.0
1,70.58320000032836,10,1631,182348,494,17.466128,4.19708,18.0,18.0
1,97.47999999854073,9,1550,182348,495,17.134142,2.379373,19.0,19.0
1,84.50499999889871,10,1648,182348,496,16.478187,1.08608,18.0,18.0
1,67.96719999874767,10,1551,182348,497,16.501293,4.427205,17.0,17.0
1,66.35139999889361,10,1578,182348,498,12.624426,2.533278,18.0,18.0
1,64.28629999936675,9,1556,182356,499,13.31891,2.520032,19.0,19.0
1,67.78119999944465,10,1540,182348,500,12.104061,4.311052,20.0,20.0
1,68.70580000031623,9,1550,182348,501,15.969946,2.743672,19.0,19.0
1,82.701299999826,9,1609,182352,502,16.814358,4.400113,18.0,18.0
1,64.21080000109214,10,1497,182364,503,14.330086,2.070068,19.0,19.0
1,68.36230000044452,9,1639,182360,504,12.395954,2.065596,18.0,18.0
1,65.70289999945089,9,1692,182352,505,12.529695,1.166234,19.0,19.0
1,65.95419999939622,9,1562,182368,506,16.421844,1.73534,20.0,20.0
1,67.07529999948747,9,1636,182360,507,12.594062,4.666859,21.0,21.0
1,64.59330000143382,10,1693,182352,508,13.189871,1.379323,20.0,20.0
1,73.29639999989013,9,1612,182344,509,19.765424,3.667868,19.0,19.0
1,75.38999999997031,9,1508,182332,510,17.806032,3.252816,20.0,20.0
1,66.68009999884816,9,1585,182348,511,12.563118,4.367509,19.0,19.0
1,66.79799999983516,9,1633,182364,512,15.344232,2.569871,20.0,20.0
1,68.7171000008675,10,1536,182348,513,13.082474,1.45288,19.0,19.0
1,75.97840000016731,10,1547,182364,514,16.177967,3.274974,18.0,18.0
1,75.06410000132746,9,1487,182348,515,16.149484,3.452499,17.0,17.0
1,66.36999999864202,10,1524,182348,516,19.021148,3.016819,16.0,16.0
1,66.64759999875969,10,1657,182348,517,15.033181,2.026291,17.0,17.0
1,100.19479999937175,9,1552,182364,518,14.454773,3.243228,18.0,18.0
1,82.88859999993292,9,1592,182348,519,18.362979,2.764484,19.0,19.0
1,63.52510000033362,9,1636,182364,520,12.326099,1.752618,18.0,18.0
1,67.43460000143386,9,1533,182348,521,12.725218,2.333374,17.0,17.0
1,67.79290000122273,10,1582,182364,522,17.475013,3.362859,16.0,16.0
1,66.01899999986927,9,1643,182348,523,17.297021,2.818381,17.0,17.0
1,70.43229999908363,0,1592,182340,524,12.878244,2.185024,16.0,16.0
1,67.09070000033535,10,1585,182328,525,16.087684,2.98866,15.0,15.0
1,71.9771000003675,10,1636,182336,526,13.949291,4.301206,14.0,14.0
1,71.8626999987464,10,1595,182344,527,15.466507,4.381825,13.0,13.0
1,71.37669999974605,10,1581,182328,528,14.123941,4.767758,14.0,14.0
1,65.83390000014333,10,1596,182324,529,12.894859,4.07673,13.0,13.0
1,63.06640000002517,10,1591,182352,530,12.161492,1.945283,14.0,14.0
1,67.13539999873319,9,1635,182348,531,18.964426,2.40042,15.0,15.0
1,67.19129999873985,9,1603,182352,532,19.459836,4.717668,16.0,16.0
1,68.17969999974594,10,1604,182348,533,18.401541,2.584422,15.0,15.0
1,65.158600000359,9,1600,182328,534,18.866148,2.828417,14.0,14.0
1,68.17070000033709,9,1529,182336,535,13.009378,4.407833,13.0,13.0
1,69.87590000062482,10,1589,182332,536,18.529974,1.542262,14.0,14.0
1,62.706900000193855,10,1617,182344,537,18.932212,3.075852,15.0,15.0
1,65.64550000075542,10,1578,182356,538,17.948726,2.072704,14.0,14.0
1,66.07879999864963,10,1549,182336,539,13.723692,4.393251,13.0,13.0
1,94.72570000070846,9,1546,182364,540,16.80171,1.590822,14.0,14.0
1,70.5140999998548,10,1651,182336,541,14.926961,4.436143,15.0,15.0
1,67.9413999987446,10,1619,182344,542,15.746269,2.347412,14.0,14.0
1,66.41270000000077,9,1538,182356,543,14.727631,4.298577,13.0,13.0
1,70.37230000059935,9,1632,182360,544,15.634392,4.793414,12.0,12.0
1,83.21669999895676,9,1618,182356,545,14.497601,4.025921,13.0,13.0
1,69.60120000076131,10,1654,182356,546,14.285644,4.071355,12.0,12.0
1,76.50009999997565,9,1568,182336,547,12.140784,1.519284,13.0,13.0
1,67.79459999961546,10,1654,182344,548,14.074055,4.480368,14.0,14.0
