ok,rtt_ms,t_us,t_loc_us,heap,k,vpv,ipv,vref,vref_port
1,17.12059999408666,49.0,855.0,183664.0,58,19.432834,1.26433,14.1,14.100000000000001
1,17.02790000126697,39.0,826.0,183664.0,59,18.730538,1.26676,15.1,15.100000000000001
1,49.92900000070222,49.0,806.0,183652.0,60,14.75448,2.721195,16.1,16.1
1,24.51390000351239,21.0,773.0,183424.0,61,19.728497,3.248927,17.1,17.1
1,18.092300000716932,44.0,836.0,183672.0,62,14.070917,1.966703,16.1,16.1
1,77.46309999492951,20.0,735.0,183472.0,63,19.104947,1.903478,15.1,15.100000000000001
1,17.136099995695986,54.0,830.0,183660.0,64,12.996438,2.153323,16.1,16.1
1,26.14779999566963,21.0,749.0,183464.0,65,16.688985,3.216362,17.1,17.1
1,15.811899997061118,54.0,855.0,183664.0,66,18.477686,3.241904,18.1,18.1
1,25.768699997570366,21.0,657.0,183464.0,67,14.30737,2.651585,17.1,17.1
1,33.927099997526966,54.0,821.0,183660.0,68,18.544968,3.506026,16.1,16.1
1,35.24180000385968,21.0,588.0,183460.0,69,19.672621,2.477618,17.1,17.1
1,34.23140000086278,29.0,635.0,183464.0,70,16.420892,3.375697,18.1,18.1
1,21.242599999823142,21.0,665.0,183464.0,71,18.78633,1.581894,17.1,17.1
1,16.70919999742182,28.0,792.0,183632.0,72,15.252083,4.639836,16.1,16.1
1,24.10539999982575,21.0,589.0,183472.0,73,12.344535,4.290825,17.1,17.1
1,16.298599999572616,29.0,835.0,183664.0,74,15.323072,4.319216,18.1,18.1
1,47.44860000209883,34.0,859.0,183656.0,75,12.079636,2.460185,17.1,17.1
1,39.4083999999566,29.0,586.0,183464.0,76,12.62904,3.610458,16.1,16.1
1,17.25569999689469,21.0,747.0,183648.0,77,14.190793,3.810608,15.1,15.100000000000001
1,37.99340000114171,28.0,784.0,183436.0,78,19.550411,1.507268,16.1,16.1
1,16.303199998219498,21.0,757.0,183660.0,79,18.918226,1.237857,15.1,15.100000000000001
1,15.858999999181833,29.0,779.0,183456.0,80,15.046164,2.719096,14.1,14.100000000000001
1,20.561700002872385,20.0,752.0,183664.0,81,15.910796,4.905849,13.1,13.100000000000001
1,37.253500006045215,51.0,874.0,183460.0,82,18.20553,2.235429,14.1,14.100000000000001
1,98.80629999679513,20.0,574.0,183472.0,83,14.158694,4.452481,15.1,15.100000000000001
1,21.721699995396193,28.0,799.0,183464.0,84,19.050457,3.042826,14.1,14.100000000000001
1,28.07059999759076,20.0,742.0,183668.0,85,14.754366,4.979669,13.1,13.100000000000001
1,51.21190000500064,29.0,823.0,183464.0,86,14.527548,1.73085,14.1,14.100000000000001
1,24.32530000078259,21.0,763.0,183436.0,87,19.040785,4.249342,15.1,15.100000000000001
1,79.07739999791374,29.0,634.0,183456.0,88,17.343115,4.833655,16.1,16.1
1,24.099700000078883,21.0,739.0,183412.0,89,19.405717,3.992994,15.1,15.100000000000001
1,34.103999998478685,29.0,625.0,183468.0,90,18.885611,1.988587,16.1,16.1
1,43.17740000260528,38.0,961.0,183496.0,91,13.129972,3.680247,17.1,17.1
1,39.356599998427555,29.0,661.0,183468.0,92,17.716948,1.668212,16.1,16.1
1,47.62810000102036,20.0,717.0,183444.0,93,15.164458,4.641023,15.1,15.100000000000001
1,27.73029999661958,29.0,812.0,183660.0,94,16.491206,3.313344,16.1,16.1
1,22.996300001977943,20.0,769.0,183664.0,95,13.553038,3.104089,15.1,15.100000000000001
1,51.29859999578912,43.0,853.0,183664.0,96,16.187478,1.355743,16.1,16.1
1,29.063200003292877,21.0,724.0,183660.0,97,19.855542,3.285582,17.1,17.1
1,18.704200003412552,29.0,786.0,183672.0,98,12.051271,4.090597,16.1,16.1
1,31.188499997369945,20.0,591.0,183460.0,99,19.826126,3.35948,15.1,15.100000000000001
1,15.834799996810034,29.0,774.0,183652.0,100,14.557453,1.750031,16.1,16.1
1,19.977099997049663,20.0,584.0,183436.0,101,17.380213,1.78043,17.1,17.1
1,25.550899998052046,29.0,626.0,183444.0,102,16.621503,3.408957,18.1,18.1
1,74.11880000290694,38.0,950.0,183516.0,103,19.699385,1.289061,17.1,17.1
1,32.782700000097975,29.0,808.0,183652.0,104,15.999783,3.97639,16.1,16.1
1,16.2108000004082,20.0,836.0,183460.0,105,13.417814,2.552267,17.1,17.1
1,57.381899998290464,46.0,822.0,183464.0,106,12.503164,3.903523,18.1,18.1
1,21.45829999790294,21.0,779.0,183668.0,107,12.702143,2.580367,17.1,17.1
1,32.38689999852795,28.0,813.0,183652.0,108,18.988181,2.889201,16.1,16.1
1,51.02189999888651,21.0,588.0,183440.0,109,19.300975,4.063668,15.1,15.100000000000001
1,41.99710000102641,29.0,769.0,183664.0,110,19.322592,1.509612,16.1,16.1
1,33.08800000377232,25.0,804.0,183624.0,111,12.588503,1.281305,15.1,15.100000000000001
1,58.14890000328887,29.0,795.0,183680.0,112,18.950834,3.53628,14.1,14.100000000000001
1,29.278900001372676,21.0,591.0,183424.0,113,15.972574,1.654174,15.1,15.100000000000001
1,16.105700000480283,29.0,831.0,183652.0,114,17.389868,2.27207,16.1,16.1
1,24.535299999115523,39.0,946.0,183472.0,115,17.687039,2.841421,17.1,17.1
1,27.571099999477156,29.0,792.0,183668.0,116,16.059759,4.158663,18.1,18.1
1,29.988700000103563,38.0,789.0,183652.0,117,12.741964,3.315034,17.1,17.1
1,15.105599995877128,29.0,714.0,183632.0,118,13.57788,4.232547,16.1,16.1
1,17.542200002935715,21.0,711.0,183660.0,119,15.910768,4.954781,15.1,15.100000000000001
1,26.08709999913117,29.0,826.0,183436.0,120,13.463547,4.852077,16.1,16.1
1,32.886599998164456,38.0,940.0,183524.0,121,18.407336,2.925042,15.1,15.100000000000001
1,33.41179999551969,29.0,639.0,183684.0,122,18.508273,3.411396,14.1,14.100000000000001
1,43.6178000018117,30.0,826.0,183668.0,123,17.240969,4.654763,13.1,13.100000000000001
1,41.09569999855012,29.0,632.0,183656.0,124,12.522163,4.339953,14.1,14.100000000000001
1,20.21700000477722,20.0,589.0,183656.0,125,15.054518,2.302182,13.1,13.100000000000001
1,41.89359999872977,29.0,631.0,183476.0,126,19.952214,4.124762,12.1,12.100000000000001
1,52.09399999876041,21.0,584.0,183460.0,127,15.884281,2.690514,13.1,13.100000000000001
1,49.50059999828227,28.0,631.0,183460.0,128,19.020231,1.347259,12.1,12.100000000000001
1,19.644899999548215,20.0,666.0,183676.0,129,17.66735,4.156618,11.1,11.100000000000001
1,36.295100006100256,29.0,811.0,183656.0,130,18.393571,2.289147,12.1,12.100000000000001
1,25.808499995036982,21.0,583.0,183460.0,131,18.373113,1.901314,11.1,11.100000000000001
1,20.674800005508587,54.0,837.0,183432.0,132,14.898464,2.669792,10.1,10.100000000000001
1,15.83280000340892,22.0,714.0,183464.0,133,16.33128,1.450455,11.1,11.100000000000001
1,22.2831999999471,54.0,847.0,183432.0,134,15.255582,1.001203,10.1,10.100000000000001
1,76.73699999577366,21.0,582.0,183660.0,135,17.955046,4.407504,9.1,9.100000000000001
1,28.534600001876242,29.0,631.0,183448.0,136,13.111453,3.815143,10.1,10.100000000000001
1,19.923500003642403,21.0,594.0,183400.0,137,18.568825,4.927313,11.1,11.100000000000001
1,50.99060000065947,28.0,653.0,183456.0,138,18.750324,2.696426,10.1,10.100000000000001
1,26.54400000028545,21.0,665.0,183468.0,139,19.83751,4.895938,9.1,9.100000000000001
1,29.341699999349657,29.0,831.0,183640.0,140,16.029416,4.013786,10.1,10.100000000000001
1,76.59889999922598,38.0,797.0,183264.0,141,19.310701,2.904588,9.1,9.100000000000001
1,18.433099998219404,29.0,716.0,183664.0,142,18.91029,3.806274,8.1,8.100000000000001
1,25.108300003921613,21.0,583.0,183640.0,143,14.351394,4.070609,9.1,9.100000000000001
1,24.624799996672664,54.0,693.0,183464.0,144,16.565478,1.375381,8.1,8.100000000000001
1,17.22679999511456,21.0,747.0,183472.0,145,15.131043,1.294964,9.1,9.100000000000001
1,29.0409000008367,29.0,831.0,183484.0,146,15.809336,2.714158,10.1,10.100000000000001
1,49.65010000159964,21.0,546.0,183472.0,147,15.3899,3.345201,11.1,11.100000000000001
1,51.641900005051866,29.0,695.0,183452.0,148,12.981525,4.735076,12.1,12.100000000000001
1,26.96250000008149,39.0,951.0,183420.0,149,17.472404,4.295125,13.1,13.100000000000001
1,25.30930000648368,29.0,719.0,183468.0,150,19.17441,3.33328,12.1,12.100000000000001
1,22.18229999562027,21.0,713.0,183464.0,151,12.321746,3.845947,13.1,13.100000000000001
1,27.155399999173824,29.0,630.0,183412.0,152,16.552207,4.303829,14.1,14.100000000000001
1,29.106800000590738,30.0,661.0,183444.0,153,16.257284,4.252976,13.1,13.100000000000001
1,31.802900004549883,29.0,872.0,183460.0,154,19.976082,2.402219,14.1,14.100000000000001
1,19.732400003704242,34.0,643.0,183432.0,155,13.368172,2.566699,13.1,13.100000000000001
1,31.95209999830695,54.0,951.0,183536.0,156,18.0244,2.756916,12.1,12.100000000000001
1,38.662200000544544,21.0,579.0,183444.0,157,16.707041,1.509434,13.1,13.100000000000001
1,25.297599997429643,28.0,816.0,183460.0,158,17.808988,2.12033,14.1,14.100000000000001
1,60.108400000899564,38.0,734.0,183472.0,159,13.52494,4.4518,15.1,15.100000000000001
1,30.010499998752493,29.0,825.0,183440.0,160,16.515303,2.937996,14.1,14.100000000000001
1,56.15580000448972,38.0,869.0,183492.0,161,19.19059,1.34405,15.1,15.100000000000001
1,56.636100001924206,54.0,810.0,183468.0,162,17.569236,2.311929,16.1,16.1
1,35.97979999904055,33.0,655.0,183464.0,163,13.403278,3.699195,17.1,17.1
1,24.780899999313988,54.0,749.0,183468.0,164,14.902576,2.319583,16.1,16.1
1,25.173299996822607,21.0,732.0,183448.0,165,19.549422,1.797193,15.1,15.100000000000001
1,21.24270000058459,29.0,820.0,183448.0,166,16.097389,1.096053,16.1,16.1
