t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,44.83289999916451,49,839,183472,19.804061998551262,3.7323586992834774,16.1
0.34600000000000025,1,19.740199997613672,21,709,183660,17.051495524004206,4.871771342397225,17.1
0.665999999999982,1,24.625900005048607,28,626,183476,17.674831508525152,4.790960016286372,18.1
0.9909999999999463,1,30.90659999725176,20,582,183476,18.73903236712383,4.475956920393154,17.1
1.3224999999999099,1,19.10180000413675,29,779,183660,17.720170566096165,4.782924593778553,16.1
1.6419999999998747,1,15.576700003293809,20,737,183680,17.066323743264668,4.870372624941601,17.1
1.9579999999998399,1,27.76599999924656,28,803,183680,17.606709301304534,4.382544403551781,16.1
2.286499999999931,1,23.014600003079977,21,864,183456,17.080295956309286,1.943186410395073,17.1
2.610000000000039,1,16.260600001260173,29,791,183680,16.77510365893233,1.948140121496044,16.1
2.927000000000145,1,22.615300003963057,21,589,183660,17.088974925130834,1.9430242479286086,15.1
3.2500000000002527,1,18.07109999936074,29,785,183672,16.11511481783653,1.955261779002318,16.1
3.568500000000359,1,21.118600001500454,28,757,183660,15.662037346984379,1.9584238939080227,15.1
3.8900000000004664,1,26.66260000114562,29,712,183692,16.131899503364632,1.9551236839898656,14.1
4.217000000000382,1,16.32909999898402,21,739,183660,15.152174021074053,1.9610500035969967,15.1
4.534000000000207,1,40.40250000252854,50,792,183688,14.567930496339555,1.9633582456030798,14.1
4.875000000000018,1,40.416399999230634,38,795,183684,15.146640302914237,1.9610747317581778,13.1
5.215999999999829,1,21.32279999932507,29,724,183668,14.178280052338481,1.9646548639677834,14.1
5.53799999999965,1,33.59669999917969,20,721,183460,13.55588630640485,1.9664987336607087,13.1
5.871999999999465,1,22.681099995679688,29,635,183660,14.137051381615525,1.9647843093972162,12.1
6.194999999999286,1,26.598399999784306,22,772,183680,13.122526711681768,1.9676842033102655,13.1
6.521999999999105,1,46.13229999813484,29,848,183680,12.53473276756356,1.9692208895808836,12.1
6.868499999998913,1,16.90729999972973,22,777,183672,13.159994204998462,1.9675838723147712,11.1
7.185999999998737,1,44.488300001830794,29,795,183476,12.140911895025596,1.970222932394995,12.1
7.530999999998546,1,26.788900002429727,39,820,183468,11.508048476321427,1.971807281592148,11.1
7.858499999998364,1,30.713500003912486,54,1034,183508,12.165020761415361,1.9701620306528589,10.1
8.189499999998517,1,19.62150000326801,38,764,183476,11.103218451494444,1.972810737832934,11.1
8.509499999998908,1,25.68559999781428,29,777,183456,10.526186420416021,1.974233505265681,10.1
8.835499999999307,1,22.954499996558297,24,643,183456,11.09840409617577,1.9728226395940067,9.1
9.158999999999702,1,43.74149999785004,29,626,183476,10.137167104898309,1.9751896491014962,10.1
9.503000000000123,1,24.256300006527454,21,734,183456,9.532022699434236,1.976674219643739,9.1
9.82800000000052,1,22.726800001692027,29,626,183660,10.112507680484018,1.9752502009385966,8.1
