t_sim,ok,rtt_ms,t_us,t_loc_us,heap,vpv,ipv,vref
0.0005,1,24.122700000589248,21,814,181496,19.804061998551262,3.7323586992834774,10.4
0.22500000000000017,1,32.199599998421036,29,836,183476,15.952923553389821,4.934110050394108,14.0
0.45750000000000035,1,86.53229999981704,47,1034,183480,12.393355641080568,4.969099630424489,17.6
0.7444999999999734,1,100.1773999996658,21,597,181408,18.34593625596438,4.628363306247484,21.2
1.0449999999999404,1,24.140499997884035,35,791,181612,20.89941113905804,2.310321740778618,9.839602
1.2694999999999157,1,55.59189999985392,21,840,183456,9.215260925363424,4.977434895040076,14.0
1.5254999999998875,1,52.273999997851206,39,1035,183492,12.230675630426012,4.969590845988676,17.6
1.7784999999998596,1,60.10500000047614,38,967,183532,18.329014846179682,4.633820289285766,17.6
2.0389999999998483,1,14.453399999183603,21,635,183476,17.865018321113016,1.9214159466481484,18.42745
2.25399999999992,1,61.4640000021609,36,709,183488,18.477689539161343,1.8878101655021313,13.4396
2.5160000000000076,1,46.59160000301199,21,853,183476,17.48039737652334,1.9341367791703727,15.30574
2.76300000000009,1,70.44440000026952,21,850,183476,14.155457061431587,1.9647266782732737,19.4
3.0340000000001806,1,40.16589999810094,38,803,183480,19.725079466733984,1.706899931980994,17.6
3.274500000000261,1,23.206300000310875,38,821,183660,18.548171114719032,1.882446400409458,19.35401
3.4980000000003355,1,36.884099998133024,36,641,183472,19.555543371063816,1.7459968118469604,17.0396
3.735500000000415,1,37.31360000165296,21,729,183476,18.444256324959337,1.8902246554173874,11.70574
3.9735000000004943,1,91.9291999998677,38,1029,183492,16.21706670869302,1.9543950154943586,19.20716
4.266000000000355,1,23.780200001056073,20,805,183476,19.91824813365809,1.6541408785909257,17.6
4.490500000000231,1,14.297900001110975,21,808,183680,18.51682675043902,1.8848787160961797,19.71203
4.705500000000112,1,43.18849999981467,36,799,183476,19.97309817176107,1.637381583399434,13.4396
4.948999999999977,1,38.81999999794061,39,1041,183488,17.898186023441788,1.9200755522372497,11.64213
5.188499999999844,1,23.784599998180056,21,756,183468,13.314248091973766,1.9671668751263025,15.60716
5.41299999999972,1,19.557200001145247,21,756,183668,13.294309847817331,1.9672211533579305,17.6
5.632999999999598,1,33.823199999460485,34,967,183456,16.997656578978056,1.9446668403308944,19.33701
5.867499999999468,1,28.55660000204807,36,800,183680,19.53383897372661,1.7505644732136112,14.37021
6.096499999999341,1,14.314899999590125,39,735,183476,18.00766043693739,1.915323514522213,11.72674
6.311499999999222,1,22.04119999805698,20,580,183480,14.077270476446714,1.9649698072791233,19.20716
6.533999999999098,1,47.03700000027311,20,591,183456,19.91426593344992,1.6553255088394454,17.6
6.781499999998961,1,15.99530000021332,21,844,183660,18.526091216978074,1.8841677519393236,22.5673
6.997999999998841,1,36.717099999805214,59,985,183492,22.090396120972404,0.012906040045695653,13.54899
7.23499999999871,1,42.811899998923764,38,819,183680,15.11780096062247,1.961202534757445,12.34181
7.478499999998575,1,25.01539999866509,26,789,183680,13.527242742372264,1.9665790179095164,17.0933
7.70399999999845,1,21.70019999903161,21,911,183456,15.739873127366339,1.9579480230075013,17.6
7.925999999998327,1,18.457899997883942,21,730,183660,17.609297626117577,1.9303965592194836,18.9673
8.144999999998463,1,14.983500001108041,45,781,183684,19.090519720700236,1.8256827464615148,11.30812
8.360499999998726,1,25.647500002378365,39,799,183648,17.342730511239367,1.937647206586544,10.97763
8.586499999999003,1,40.67440000289935,42,879,183680,11.402858634769105,1.9720685800879545,17.47152
8.827499999999297,1,50.94630000166944,21,795,183476,16.723442897324713,1.9488520217623428,17.6
9.078999999999604,1,51.1287999979686,38,1036,183492,17.800316748630735,1.923906970273189,15.3673
9.330499999999912,1,22.633699998550583,37,849,183444,17.29828855973577,1.9386847938280314,7.708117
9.553500000000184,1,47.023600000102306,22,842,183476,14.112958321865129,1.964859374612615,14.57763
9.801000000000487,1,24.720900000829715,21,829,183456,10.885801816970522,1.9733476320884422,18.04379
